prompt_level,left_condition,right_condition,left_architecture,right_architecture,n_topics,mean_same_input_route_similarity,mean_different_input_route_similarity,mean_architecture_route_displacement,displacement_ci_low,displacement_ci_high,mean_same_input_similarity_advantage,advantage_ci_low,advantage_ci_high,analysis_role,c4_also_changes_second_model
P0,C1-P0,C2-P0,C1,C2,7,0.3832138977688738,0.37717687972472164,0.6167861022311262,0.5834406135392897,0.6527216898763192,0.006037018044152155,-0.0065457077326390835,0.01961090393469155,exploratory,False
P0,C1-P0,C3-P0,C1,C3,7,0.40554927990316203,0.4026974381267449,0.5944507200968381,0.5660652802610159,0.6246479353480957,0.0028518417764171267,-0.008883449045670438,0.016254162355168005,exploratory,False
P0,C1-P0,C4-P0,C1,C4,7,0.40688302909048985,0.39638778111090633,0.5931169709095102,0.5626132909732671,0.6235525353651795,0.010495247979583542,0.003170851327643062,0.01784105518227714,exploratory,True
P0,C2-P0,C3-P0,C2,C3,7,0.4125712441479402,0.4084917910306561,0.5874287558520598,0.5458208598055045,0.6230107799520089,0.0040794531172841375,-0.008825587910562633,0.018545316731520874,exploratory,False
P0,C2-P0,C4-P0,C2,C4,7,0.42872735981510185,0.41205326177151674,0.5712726401848982,0.5272997098943442,0.6118377931747793,0.016674098043585075,0.008350985059786162,0.026585122444757525,exploratory,True
P0,C3-P0,C4-P0,C3,C4,7,0.43248538972577305,0.4361212806796084,0.567514610274227,0.5240225413012859,0.6007423793238532,-0.0036358909538353745,-0.021833748896949945,0.016970078625800807,exploratory,True
P1,C1-P1,C2-P1,C1,C2,7,0.3772585391160241,0.36986148611491415,0.6227414608839759,0.5977954561089223,0.6479878760823887,0.007397053001109956,-0.00789566045820335,0.025909537665476077,exploratory,False
P1,C1-P1,C3-P1,C1,C3,7,0.4282326221727038,0.4383600700538984,0.5717673778272961,0.5339252434080601,0.608120060713954,-0.010127447881194558,-0.017914787963243164,-0.0027001142406107527,exploratory,False
P1,C1-P1,C4-P1,C1,C4,7,0.432278057307054,0.4336959269295783,0.567721942692946,0.5457186551720133,0.5888683582526231,-0.001417869622524326,-0.012404563310496896,0.010893111318706286,exploratory,True
P1,C2-P1,C3-P1,C2,C3,7,0.3685374954283856,0.37566770804538624,0.6314625045716145,0.5800311388425582,0.6783207799883668,-0.00713021261700069,-0.014788728339572935,-0.0006047880241274126,exploratory,False
P1,C2-P1,C4-P1,C2,C4,7,0.360873021795424,0.36101538258682264,0.639126978204576,0.61665634596019,0.660068037909307,-0.0001423607913985817,-0.017745673381314147,0.02281661298043044,exploratory,True
P1,C3-P1,C4-P1,C3,C4,7,0.47574774214088145,0.472255697041685,0.5242522578591186,0.503166621692282,0.5427690416611606,0.003492045099196404,-0.01474365377203355,0.023032905720277688,exploratory,True
P2,C1-P2,C2-P2,C1,C2,7,0.3530360861752461,0.34943240849374135,0.6469639138247538,0.6222440414724337,0.675713204846833,0.0036036776815047927,-0.008938779869228088,0.0169699188242918,exploratory,False
P2,C1-P2,C3-P2,C1,C3,7,0.40270869225083467,0.4117868959302024,0.5972913077491653,0.5481624328460453,0.64237496332062,-0.009078203679367791,-0.023422097161560955,0.005001680160422962,exploratory,False
P2,C1-P2,C4-P2,C1,C4,7,0.39984560361125243,0.4135904972195513,0.6001543963887476,0.5629842426267561,0.6270195274571176,-0.013744893608298892,-0.02741140503156089,0.0020932300289787033,exploratory,True
P2,C2-P2,C3-P2,C2,C3,7,0.3526914979441332,0.3654128766986329,0.6473085020558669,0.620386117416979,0.6788949428303427,-0.012721378754499737,-0.024359288204271808,-0.0014780555022750209,exploratory,False
P2,C2-P2,C4-P2,C2,C4,7,0.36251264042186643,0.36295387480657243,0.6374873595781335,0.6168849401464567,0.6578317661673525,-0.00044123438470597013,-0.010528752623641146,0.0093993724189794,exploratory,True
P2,C3-P2,C4-P2,C3,C4,7,0.4424700601877148,0.43874385322105997,0.5575299398122853,0.5398938115647107,0.5761309539923899,0.0037262069666548375,-0.019352809396785457,0.023196162897862384,exploratory,True
