prompt_level,left_condition,right_condition,left_architecture,right_architecture,topic,topic_key,n_left,n_right,n_matched_inputs,n_unmatched_pairs,primary_eligible,mean_same_input_route_similarity,mean_different_input_route_similarity,architecture_route_displacement,same_input_similarity_advantage,analysis_role,c4_also_changes_second_model
P0,C1-P0,C2-P0,C1,C2,Buying A Car,buying a car,2,2,2,2,False,0.4316808506297733,0.4307100613378668,0.5683191493702267,0.0009707892919064709,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Capital Punishment,capital punishment,2,2,2,2,False,0.48075956087216914,0.460820861892558,0.5192404391278309,0.019938698979611147,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Care Of The Elderly,care of the elderly,5,5,5,20,True,0.4044226950921196,0.40454541014181283,0.5955773049078804,-0.00012271504969324498,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Child Care,child care,2,2,2,2,False,0.37373522018689254,0.3682916815966266,0.6262647798131075,0.005443538590265917,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Crime,crime,4,4,4,12,True,0.5542080977067619,0.5436451899374969,0.44579190229323806,0.01056290776926505,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Drug Testing,drug testing,2,2,2,2,False,0.4612099282447709,0.41712073985745063,0.5387900717552291,0.04408918838732029,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Family Finance,family finance,5,5,5,20,True,0.4189029278360314,0.4110933422716097,0.5810970721639686,0.007809585564421684,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Job Benefits,job benefits,5,5,5,20,True,0.4621385266738905,0.4593804984958636,0.5378614733261096,0.0027580281780268945,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Music,music,2,2,2,2,False,0.3969692963650428,0.3958700010290238,0.6030307036349571,0.0010992953360189905,exploratory,False
P0,C1-P0,C2-P0,C1,C2,News Media,news media,4,4,4,12,True,0.46729591949618754,0.4549512927517075,0.5327040805038125,0.012344626744480058,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Recycling,recycling,3,3,3,6,True,0.4752687100787547,0.4667351044469097,0.5247312899212453,0.00853360563184502,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Taxes,taxes,2,2,2,2,False,0.08848038988184509,0.09073459545351753,0.9115196101181549,-0.0022542055716724407,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Trial By Jury,trial by jury,6,6,6,30,True,0.5150352682272991,0.49527736581364223,0.48496473177270094,0.019757902413656825,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Buying A Car,buying a car,2,2,2,2,False,0.43943004296443794,0.4172692184085258,0.560569957035562,0.022160824555912118,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Capital Punishment,capital punishment,2,2,2,2,False,0.509652053441334,0.5031396284923197,0.490347946558666,0.006512424949014273,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Care Of The Elderly,care of the elderly,5,5,5,20,True,0.44030172949025664,0.43594866428321044,0.5596982705097433,0.004353065207046203,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Child Care,child care,2,1,1,1,False,0.34743069410226457,0.41659079944651,0.6525693058977354,-0.06916010534424544,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Crime,crime,4,4,4,12,True,0.5179093357751348,0.5207331191086231,0.48209066422486524,-0.0028237833334883167,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Drug Testing,drug testing,2,2,2,2,False,0.39203486782015473,0.3592174971097531,0.6079651321798453,0.03281737071040164,exploratory,False
