source,condition,architecture,prompt_level,conversation_no,topic,topic_key,n_words,n_bins,n_microchunks,route_representation,n_sampled_word_occurrences,n_unique_sampled_words,sampled_unique_coverage,sampled_overlap_rate,status,topic_pool_size,nearest_sibling_no,nearest_sibling_similarity
SB,SB,SB,SB,2005,Care Of The Elderly,care of the elderly,1689,12,24,full-coverage,1689,1689,1.0,0.0,eligible,28,3057,0.45888598671658565
SB,SB,SB,SB,2006,Air Pollution,air pollution,1454,12,24,full-coverage,1454,1454,1.0,0.0,eligible,24,2648,0.3622770707505877
SB,SB,SB,SB,2020,Music,music,1908,12,24,full-coverage,1908,1908,1.0,0.0,eligible,25,4312,0.4034737687711424
SB,SB,SB,SB,2022,Family Finance,family finance,1214,12,24,full-coverage,1214,1214,1.0,0.0,eligible,28,2515,0.4895449784414184
SB,SB,SB,SB,2025,Trial By Jury,trial by jury,1353,12,24,full-coverage,1353,1353,1.0,0.0,eligible,31,3118,0.4346422960613566
SB,SB,SB,SB,2028,Weather Climate,weather climate,1533,12,24,full-coverage,1533,1533,1.0,0.0,eligible,20,3663,0.329064671248784
SB,SB,SB,SB,2032,Music,music,1740,12,24,full-coverage,1740,1740,1.0,0.0,eligible,25,4312,0.38884186789112907
SB,SB,SB,SB,2051,Crime,crime,1519,12,24,full-coverage,1519,1519,1.0,0.0,eligible,27,3143,0.39870449696493315
SB,SB,SB,SB,2060,News Media,news media,914,12,12,full-coverage,914,914,1.0,0.0,eligible,31,2888,0.3591594158404313
SB,SB,SB,SB,2062,Job Benefits,job benefits,2020,12,24,full-coverage,2020,2020,1.0,0.0,eligible,26,2982,0.35408923893559163
SB,SB,SB,SB,2064,Capital Punishment,capital punishment,1460,12,24,full-coverage,1460,1460,1.0,0.0,eligible,32,3150,0.49994052837235525
SB,SB,SB,SB,2071,Buying A Car,buying a car,936,12,12,full-coverage,936,936,1.0,0.0,eligible,34,2875,0.43226713730928024
SB,SB,SB,SB,2085,Job Benefits,job benefits,1706,12,24,full-coverage,1706,1706,1.0,0.0,eligible,26,2982,0.37757049052096636
SB,SB,SB,SB,2092,Family Finance,family finance,1532,12,24,full-coverage,1532,1532,1.0,0.0,eligible,28,2515,0.4028309952947705
SB,SB,SB,SB,2094,Air Pollution,air pollution,1344,12,24,full-coverage,1344,1344,1.0,0.0,eligible,24,2998,0.4268080167880015
SB,SB,SB,SB,2095,Weather Climate,weather climate,903,12,12,full-coverage,903,903,1.0,0.0,eligible,20,2772,0.47569767132425667
SB,SB,SB,SB,2104,Soviet Union,soviet union,458,12,12,full-coverage,458,458,1.0,0.0,eligible,8,2451,0.32999150004838596
SB,SB,SB,SB,2111,Recycling,recycling,1759,12,24,full-coverage,1759,1759,1.0,0.0,eligible,35,2249,0.5491250540718142
SB,SB,SB,SB,2121,Air Pollution,air pollution,1808,12,24,full-coverage,1808,1808,1.0,0.0,eligible,24,2094,0.41822201325378616
SB,SB,SB,SB,2131,Music,music,1882,12,24,full-coverage,1882,1882,1.0,0.0,eligible,25,3036,0.38303561167737055
SB,SB,SB,SB,2154,News Media,news media,1566,12,24,full-coverage,1566,1566,1.0,0.0,eligible,31,2888,0.4523614488049882
SB,SB,SB,SB,2155,Care Of The Elderly,care of the elderly,2240,12,24,full-coverage,2240,2240,1.0,0.0,eligible,28,4619,0.4759525834290548
SB,SB,SB,SB,2157,Football,football,1793,12,24,full-coverage,1793,1793,1.0,0.0,eligible,11,2521,0.4270000315715663
SB,SB,SB,SB,2160,Crime,crime,1318,12,24,full-coverage,1318,1318,1.0,0.0,eligible,27,3143,0.3498053006495886
SB,SB,SB,SB,2168,Public Education,public education,2013,12,24,full-coverage,2013,2013,1.0,0.0,eligible,32,2407,0.41729541376624835
SB,SB,SB,SB,2180,Trial By Jury,trial by jury,1476,12,24,full-coverage,1476,1476,1.0,0.0,eligible,31,4038,0.4185510630999074
SB,SB,SB,SB,2184,Drug Testing,drug testing,1326,12,24,full-coverage,1326,1326,1.0,0.0,eligible,27,4049,0.40775679435923673
SB,SB,SB,SB,2190,Air Pollution,air pollution,2231,12,24,full-coverage,2231,2231,1.0,0.0,eligible,24,2121,0.35383643804575693
SB,SB,SB,SB,2205,News Media,news media,1633,12,24,full-coverage,1633,1633,1.0,0.0,eligible,31,2888,0.43002869281779466
SB,SB,SB,SB,2220,Music,music,1948,12,24,full-coverage,1948,1948,1.0,0.0,eligible,25,3071,0.31480912763138347
SB,SB,SB,SB,2221,Trial By Jury,trial by jury,2044,12,24,full-coverage,2044,2044,1.0,0.0,eligible,31,2962,0.4535668281974037
SB,SB,SB,SB,2231,Capital Punishment,capital punishment,1460,12,24,full-coverage,1460,1460,1.0,0.0,eligible,32,3150,0.4568030842501546
SB,SB,SB,SB,2234,Taxes,taxes,1527,12,24,full-coverage,1527,1527,1.0,0.0,eligible,26,3077,0.4677609297878481
SB,SB,SB,SB,2249,Recycling,recycling,1874,12,24,full-coverage,1874,1874,1.0,0.0,eligible,35,2111,0.5491250540718142
SB,SB,SB,SB,2252,Soviet Union,soviet union,2102,12,24,full-coverage,2102,2102,1.0,0.0,eligible,8,2344,0.4207331447512127
SB,SB,SB,SB,2260,Taxes,taxes,1856,12,24,full-coverage,1856,1856,1.0,0.0,eligible,26,3077,0.3473111833979884
SB,SB,SB,SB,2262,Air Pollution,air pollution,1599,12,24,full-coverage,1599,1599,1.0,0.0,eligible,24,3574,0.39596708932376024
SB,SB,SB,SB,2264,Recycling,recycling,1028,12,12,full-coverage,1028,1028,1.0,0.0,eligible,35,2249,0.4478024801736512
SB,SB,SB,SB,2265,News Media,news media,791,12,12,full-coverage,791,791,1.0,0.0,eligible,31,2888,0.3983583290445526
SB,SB,SB,SB,2285,Crime,crime,1907,12,24,full-coverage,1907,1907,1.0,0.0,eligible,27,3143,0.3860056502330068
SB,SB,SB,SB,2289,Recycling,recycling,1894,12,24,full-coverage,1894,1894,1.0,0.0,eligible,35,2111,0.5244596287789705
SB,SB,SB,SB,2292,Job Benefits,job benefits,1844,12,24,full-coverage,1844,1844,1.0,0.0,eligible,26,2982,0.36740162192263204
SB,SB,SB,SB,2293,Air Pollution,air pollution,1225,12,24,full-coverage,1225,1225,1.0,0.0,eligible,24,2752,0.3858422390347026
SB,SB,SB,SB,2295,Care Of The Elderly,care of the elderly,1146,12,12,full-coverage,1146,1146,1.0,0.0,eligible,28,3946,0.43666619036723375
