prompt_level,left_condition,right_condition,left_architecture,right_architecture,conversation_no,topic,topic_key,same_input_route_similarity,architecture_route_displacement,alignment_path,analysis_role
P0,C1-P0,C2-P0,C1,C2,4382,Air Pollution,air pollution,0.49241017487638283,0.5075898251236172,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4339,Buying A Car,buying a car,0.4415388656076171,0.5584611343923829,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4356,Buying A Car,buying a car,0.42182283565192946,0.5781771643480705,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4133,Capital Punishment,capital punishment,0.4179566486701324,0.5820433513298676,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4341,Capital Punishment,capital punishment,0.5435624730742059,0.4564375269257941,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]",exploratory
P0,C1-P0,C2-P0,C1,C2,3902,Care Of The Elderly,care of the elderly,0.37149426800122565,0.6285057319987744,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4108,Care Of The Elderly,care of the elderly,0.4641279732490765,0.5358720267509235,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4166,Care Of The Elderly,care of the elderly,0.37971592120723074,0.6202840787927693,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4619,Care Of The Elderly,care of the elderly,0.43971614815710813,0.5602838518428919,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4646,Care Of The Elderly,care of the elderly,0.3670591648459569,0.6329408351540431,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4325,Child Care,child care,0.4132888078640322,0.5867111921359678,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4877,Child Care,child care,0.33418163250975286,0.6658183674902471,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11]]",exploratory
