prompt_level,left_condition,right_condition,left_architecture,right_architecture,topic,topic_key,n_left,n_right,n_matched_inputs,n_unmatched_pairs,primary_eligible,mean_same_input_route_similarity,mean_different_input_route_similarity,architecture_route_displacement,same_input_similarity_advantage,analysis_role,c4_also_changes_second_model
P0,C1-P0,C2-P0,C1,C2,Buying A Car,buying a car,2,2,2,2,False,0.36779395635594025,0.3865439765488096,0.6322060436440597,-0.018750020192869365,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Capital Punishment,capital punishment,2,2,2,2,False,0.4265719097371205,0.4139877799597604,0.5734280902628794,0.01258412977736012,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Care Of The Elderly,care of the elderly,5,5,5,20,True,0.28962751234093775,0.30662216004706594,0.7103724876590622,-0.016994647706128185,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Child Care,child care,2,2,2,2,False,0.2570596642462124,0.28851860248645,0.7429403357537876,-0.0314589382402376,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Crime,crime,4,4,4,12,True,0.42638082573135183,0.437627898975892,0.5736191742686482,-0.011247073244540162,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Drug Testing,drug testing,2,2,2,2,False,0.37444145022083747,0.3625102800225672,0.6255585497791625,0.01193117019827028,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Family Finance,family finance,5,5,5,20,True,0.3635852516933115,0.33151771500940747,0.6364147483066884,0.03206753668390405,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Job Benefits,job benefits,5,5,5,20,True,0.35307364205123526,0.36178875594272886,0.6469263579487647,-0.008715113891493598,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Music,music,2,2,2,2,False,0.3887578116579905,0.37369133843897623,0.6112421883420095,0.015066473219014276,exploratory,False
P0,C1-P0,C2-P0,C1,C2,News Media,news media,4,4,4,12,True,0.3913055830301828,0.3844880170609506,0.6086944169698172,0.00681756596923222,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Recycling,recycling,3,3,3,6,True,0.4333756708511964,0.41946914826370313,0.5666243291488036,0.013906522587493253,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Taxes,taxes,2,2,2,2,False,0.08395670121302135,0.0902867087792884,0.9160432987869787,-0.00633000756626706,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Trial By Jury,trial by jury,6,6,6,30,True,0.42514879868390115,0.39872446277330365,0.5748512013160989,0.026424335910597507,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Buying A Car,buying a car,2,2,2,2,False,0.39393991172607196,0.38041848559421026,0.606060088273928,0.013521426131861691,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Capital Punishment,capital punishment,2,2,2,2,False,0.4759752121277888,0.47353243378660737,0.5240247878722112,0.0024427783411814508,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Care Of The Elderly,care of the elderly,5,5,5,20,True,0.36435414374613834,0.3686584303633268,0.6356458562538616,-0.0043042866171884575,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Child Care,child care,2,2,2,2,False,0.3000192694305031,0.25673984305642267,0.699980730569497,0.04327942637408044,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Crime,crime,4,4,4,12,True,0.43517749788291804,0.4473233147346625,0.564822502117082,-0.012145816851744484,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Drug Testing,drug testing,2,2,2,2,False,0.39922104841782946,0.346170494298266,0.6007789515821705,0.05305055411956344,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Family Finance,family finance,5,5,5,20,True,0.3982066422901466,0.39404291640529954,0.6017933577098534,0.004163725884847036,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Job Benefits,job benefits,5,5,5,20,True,0.3387179795378129,0.3584165472336043,0.6612820204621871,-0.01969856769579137,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Music,music,2,2,2,2,False,0.3063875506033133,0.3432109526721435,0.6936124493966866,-0.036823402068830224,exploratory,False
P0,C1-P0,C3-P0,C1,C3,News Media,news media,4,4,4,12,True,0.42490692141513403,0.39000022654599587,0.575093078584866,0.034906694869138166,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Recycling,recycling,3,3,3,6,True,0.46205526210072484,0.4472930075150281,0.5379447378992752,0.014762254585696744,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Taxes,taxes,2,2,2,2,False,0.1742997775496305,0.16432325641373324,0.8257002224503696,0.009976521135897254,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Trial By Jury,trial by jury,6,6,6,30,True,0.41542651234925926,0.413147624089297,0.5845734876507407,0.002278888259962253,exploratory,False
P0,C1-P0,C4-P0,C1,C4,Buying A Car,buying a car,2,2,2,2,False,0.4412744596663248,0.4334234524753092,0.5587255403336753,0.007851007191015558,exploratory,True
