condition,architecture,prompt_level,topic,topic_key,n_generated,n_human_pool,primary_eligible,generated_route_reuse,human_pool_matched_reuse,human_subsample_mean_q025,human_subsample_mean_q975,excess_route_reuse,human_subsample_nearest_p95,generated_above_human_nearest_p95_rate,human_subsample_upper_tail_fraction
C1-P0,C1,P0,Buying A Car,buying a car,2,34,False,0.536898300468541,0.20474130916405517,0.11669563741891886,0.2944891932778733,0.33215699130448584,0.28064077504492047,1.0,0.0004997501249375312
C1-P0,C1,P0,Capital Punishment,capital punishment,2,32,False,0.46931566320729434,0.18797567607046253,0.09666182978350203,0.2918074711157862,0.28133998713683184,0.27771647436362906,1.0,0.0004997501249375312
C1-P0,C1,P0,Care Of The Elderly,care of the elderly,5,28,True,0.4317560801539555,0.23231161920089016,0.19723502217881209,0.2701473966950145,0.19944446095306534,0.2828564823069304,1.0,0.0004997501249375312
C1-P0,C1,P0,Child Care,child care,2,28,False,0.23379113769190174,0.18280167450823567,0.10570672094941702,0.2594737338430566,0.05098946318366607,0.24803175969911873,0.0,0.10044977511244378
C1-P0,C1,P0,Crime,crime,4,27,True,0.4636894605562091,0.21826373481924025,0.16278284028622594,0.27673269032549225,0.24542572573696883,0.2945057345104226,1.0,0.0004997501249375312
C1-P0,C1,P0,Drug Testing,drug testing,2,27,False,0.40049149767564607,0.18750095028995492,0.09470423575537402,0.2945034676487067,0.21299054738569115,0.26847342044934186,1.0,0.0004997501249375312
C1-P0,C1,P0,Family Finance,family finance,5,28,True,0.46414725814270996,0.25703138792833263,0.21305915300392134,0.29870810935720243,0.20711587021437733,0.31503129585115286,1.0,0.0004997501249375312
C1-P0,C1,P0,Job Benefits,job benefits,5,26,True,0.40149687510434884,0.2056129447580133,0.16661961568232642,0.24450828475809552,0.19588393034633553,0.2660297159633672,1.0,0.0004997501249375312
C1-P0,C1,P0,Music,music,2,25,False,0.49273877009735934,0.21742912349074311,0.12382692461733225,0.3169419756761527,0.2753096466066162,0.30575528023547804,1.0,0.0004997501249375312
C1-P0,C1,P0,News Media,news media,4,31,True,0.4613461153377443,0.24260938003927646,0.18006543199683983,0.3088372281616216,0.21873673529846782,0.31870660998647304,1.0,0.0004997501249375312
C1-P0,C1,P0,Recycling,recycling,3,35,True,0.5903888091812165,0.21747613519969583,0.15487424081665527,0.2887024674135204,0.37291267398152067,0.2932721699020787,1.0,0.0004997501249375312
C1-P0,C1,P0,Taxes,taxes,2,26,False,0.2835170645482128,0.20844165581151233,0.10743530166968074,0.3136433859884644,0.07507540873670046,0.2888392520862578,0.0,0.06146926536731634
C1-P0,C1,P0,Trial By Jury,trial by jury,6,31,True,0.4624731500461692,0.25625486661021235,0.2096754854042313,0.301411847785403,0.20621828343595683,0.3216103872822931,1.0,0.0004997501249375312
C2-P0,C2,P0,Buying A Car,buying a car,2,34,False,0.3400359567882375,0.20474130916405517,0.11669563741891886,0.2944891932778733,0.13529464762418233,0.28064077504492047,1.0,0.004997501249375313
C2-P0,C2,P0,Capital Punishment,capital punishment,2,32,False,0.42591248053768427,0.18797567607046253,0.09666182978350203,0.2918074711157862,0.23793680446722174,0.27771647436362906,1.0,0.0004997501249375312
C2-P0,C2,P0,Care Of The Elderly,care of the elderly,5,28,True,0.39942487396665927,0.23231161920089016,0.19723502217881209,0.2701473966950145,0.1671132547657691,0.2828564823069304,1.0,0.0004997501249375312
C2-P0,C2,P0,Child Care,child care,2,28,False,0.37432585984274713,0.18280167450823567,0.10570672094941702,0.2594737338430566,0.19152418533451146,0.24803175969911873,1.0,0.0004997501249375312
C2-P0,C2,P0,Crime,crime,4,27,True,0.46800008961870276,0.21826373481924025,0.16278284028622594,0.27673269032549225,0.24973635479946252,0.2945057345104226,1.0,0.0004997501249375312
C2-P0,C2,P0,Drug Testing,drug testing,2,27,False,0.4539215814357932,0.18750095028995492,0.09470423575537402,0.2945034676487067,0.26642063114583825,0.26847342044934186,1.0,0.0004997501249375312
C2-P0,C2,P0,Family Finance,family finance,5,28,True,0.4004360776686635,0.25703138792833263,0.21305915300392134,0.29870810935720243,0.14340468974033088,0.31503129585115286,1.0,0.0004997501249375312
C2-P0,C2,P0,Job Benefits,job benefits,5,26,True,0.5195207124977977,0.2056129447580133,0.16661961568232642,0.24450828475809552,0.31390776773978446,0.2660297159633672,1.0,0.0004997501249375312
