condition,architecture,prompt_level,topic,topic_key,n_generated,n_human_pool,primary_eligible,generated_route_reuse,human_pool_matched_reuse,human_subsample_mean_q025,human_subsample_mean_q975,excess_route_reuse,human_subsample_nearest_p95,generated_above_human_nearest_p95_rate,human_subsample_upper_tail_fraction
C1-P0,C1,P0,Buying A Car,buying a car,2,34,False,0.6024024577969056,0.2066447785338288,0.10628098307131573,0.30305771467114717,0.3957576792630768,0.2832728821566214,1.0,0.0004997501249375312
C1-P0,C1,P0,Capital Punishment,capital punishment,2,32,False,0.47678978299624386,0.19238287094211587,0.10841411063407502,0.3003146231129681,0.284406912054128,0.2818209948324582,1.0,0.0004997501249375312
C1-P0,C1,P0,Care Of The Elderly,care of the elderly,5,28,True,0.4563369772472618,0.24218862559234747,0.194573812333379,0.2921885055178295,0.21414835165491433,0.3131175772213094,0.8,0.0004997501249375312
C1-P0,C1,P0,Child Care,child care,2,28,False,0.2612094671242777,0.18150468683028292,0.1021717824715046,0.262973242997363,0.0797047802939948,0.25223546774185035,1.0,0.03498250874562719
C1-P0,C1,P0,Crime,crime,4,27,True,0.5221608014067978,0.2146920722765111,0.15554743930825649,0.27111669868359023,0.30746872913028667,0.2860337423141406,1.0,0.0004997501249375312
C1-P0,C1,P0,Drug Testing,drug testing,2,27,False,0.45774439541621237,0.18898735043207116,0.09561729732505808,0.2880351699846894,0.2687570449841412,0.27271195436873563,1.0,0.0004997501249375312
C1-P0,C1,P0,Family Finance,family finance,5,28,True,0.49230856245268856,0.2504180170367064,0.1967415245035453,0.2996552191514691,0.24189054541598215,0.31253958326743514,1.0,0.0004997501249375312
C1-P0,C1,P0,Job Benefits,job benefits,5,26,True,0.41860754331589867,0.20047845568140682,0.16292677250270424,0.2397873217002184,0.21812908763449185,0.2517635522655035,1.0,0.0004997501249375312
C1-P0,C1,P0,Music,music,2,25,False,0.48642436681434564,0.20272081735735828,0.09998765304070416,0.3102439578316285,0.2837035494569874,0.2865766450218351,1.0,0.0004997501249375312
C1-P0,C1,P0,News Media,news media,4,31,True,0.49971290978335314,0.26056405337575117,0.1999385061820257,0.32610254434188324,0.23914885640760197,0.3356762468742268,1.0,0.0004997501249375312
C1-P0,C1,P0,Recycling,recycling,3,35,True,0.6166670625176272,0.21650655279142564,0.1522517430456716,0.2846138218807809,0.40016050972620154,0.2896303252421456,1.0,0.0004997501249375312
C1-P0,C1,P0,Taxes,taxes,2,26,False,0.298970748155591,0.19513866292997903,0.10179627271951452,0.2984695850268577,0.10383208522561196,0.2729145272467355,1.0,0.02148925537231384
C1-P0,C1,P0,Trial By Jury,trial by jury,6,31,True,0.5183226690576248,0.26338194236014295,0.21796449393168016,0.3047486007306206,0.25494072669748186,0.3273868097798356,1.0,0.0004997501249375312
C2-P0,C2,P0,Buying A Car,buying a car,2,34,False,0.32781665593235476,0.2066447785338288,0.10628098307131573,0.30305771467114717,0.12117187739852597,0.2832728821566214,1.0,0.0069965017491254375
C2-P0,C2,P0,Capital Punishment,capital punishment,2,32,False,0.44902147082777144,0.19238287094211587,0.10841411063407502,0.3003146231129681,0.25663859988565557,0.2818209948324582,1.0,0.0004997501249375312
C2-P0,C2,P0,Care Of The Elderly,care of the elderly,5,28,True,0.42003310122716375,0.24218862559234747,0.194573812333379,0.2921885055178295,0.17784447563481628,0.3131175772213094,1.0,0.0004997501249375312
C2-P0,C2,P0,Child Care,child care,2,28,False,0.3777127051042727,0.18150468683028292,0.1021717824715046,0.262973242997363,0.19620801827398976,0.25223546774185035,1.0,0.0004997501249375312
C2-P0,C2,P0,Crime,crime,4,27,True,0.5282384177656323,0.2146920722765111,0.15554743930825649,0.27111669868359023,0.3135463454891212,0.2860337423141406,1.0,0.0004997501249375312
C2-P0,C2,P0,Drug Testing,drug testing,2,27,False,0.5077471141160039,0.18898735043207116,0.09561729732505808,0.2880351699846894,0.3187597636839328,0.27271195436873563,1.0,0.0004997501249375312
C2-P0,C2,P0,Family Finance,family finance,5,28,True,0.41899560388739926,0.2504180170367064,0.1967415245035453,0.2996552191514691,0.16857758685069285,0.31253958326743514,1.0,0.0004997501249375312
