label_set,gold,predicted,count,fraction_of_gold
fine,sd,sd,1153,0.8917246713
fine,b,b,572,0.9454545455
fine,sv,sv,355,0.7274590164
fine,%,sd,117,0.5792079208
fine,aa,b,111,0.5362318841
fine,sv,sd,108,0.2213114754
fine,sd,sv,92,0.0711523589
fine,qy,qy,77,0.7938144330
fine,aa,aa,70,0.3381642512
fine,ba,ba,48,0.7741935484
fine,ny,b,47,1.0000000000
fine,x,b,43,0.8958333333
fine,%,b,41,0.2029702970
fine,fc,fc,27,0.7500000000
fine,%,sv,21,0.1039603960
fine,qw,qw,21,0.8076923077
fine,bk,b,20,0.8333333333
fine,nn,nn,18,0.9000000000
fine,qo,qo,17,0.6800000000
fine,b,aa,16,0.0264462810
fine,fo,sd,15,0.6818181818
fine,h,h,15,0.7142857143
fine,sd,^2,14,0.0108275329
fine,%,qrr,11,0.0544554455
fine,aa,sd,10,0.0483091787
fine,bh,bh,10,0.5882352941
fine,qy,sd,10,0.1030927835
fine,na,sd,9,0.6923076923
fine,sv,ba,9,0.0184426230
fine,sd,aa,8,0.0061871616
fine,ad,ad,7,0.5384615385
fine,bf,sd,7,0.4375000000
fine,sd,b,7,0.0054137664
fine,h,sd,6,0.2857142857
fine,qy,sv,6,0.0618556701
fine,^h,^h,5,0.5555555556
fine,aa,fo,5,0.0241545894
fine,aa,sv,5,0.0241545894
fine,b,fo,5,0.0082644628
fine,ba,sv,5,0.0806451613
fine,bf,sv,5,0.3125000000
fine,qh,qh,5,0.5000000000
fine,sd,ad,5,0.0038669760
fine,sd,bf,5,0.0038669760
fine,sv,aa,5,0.0102459016
fine,x,sd,5,0.1041666667
fine,aa,nn,4,0.0193236715
fine,ad,sd,4,0.3076923077
fine,b,ba,4,0.0066115702
fine,ba,sd,4,0.0645161290
fine,bk,fo,4,0.1666666667
fine,qo,qw,4,0.1600000000
fine,sd,qy,4,0.0030935808
fine,sv,^2,4,0.0081967213
fine,%,fo,3,0.0148514851
fine,%,nn,3,0.0148514851
fine,^h,sd,3,0.3333333333
fine,^q,sd,3,0.3000000000
fine,ar,nn,3,0.5000000000
fine,ar,sd,3,0.5000000000
fine,b,^2,3,0.0049586777
fine,bh,aa,3,0.1764705882
fine,fo,b,3,0.1363636364
fine,ft,fc,3,1.0000000000
fine,oo,sd,3,0.7500000000
fine,qrr,qrr,3,0.7500000000
fine,^q,^2,2,0.2000000000
fine,^q,^q,2,0.2000000000
fine,aa,fc,2,0.0096618357
fine,b,sd,2,0.0033057851
fine,ba,b,2,0.0322580645
fine,bf,bf,2,0.1250000000
fine,bh,b,2,0.1176470588
fine,bh,qy,2,0.1176470588
fine,br,qy,2,0.6666666667
fine,fa,fa,2,1.0000000000
fine,fc,b,2,0.0555555556
fine,fc,fo,2,0.0555555556
fine,fc,sd,2,0.0555555556
fine,fo,fo,2,0.0909090909
fine,fp,fp,2,1.0000000000
fine,ng,ng,2,0.5000000000
fine,nn,b,2,0.1000000000
fine,no,h,2,0.5000000000
fine,qh,qw,2,0.2000000000
fine,qh,qy,2,0.2000000000
fine,qo,qy,2,0.0800000000
fine,qo,sd,2,0.0800000000
fine,qw,qh,2,0.0769230769
fine,qw,qo,2,0.0769230769
fine,qy,^2,2,0.0206185567
fine,qy,bf,2,0.0206185567
fine,sd,^q,2,0.0015467904
fine,sd,ba,2,0.0015467904
fine,sv,ad,2,0.0040983607
fine,sv,bf,2,0.0040983607
fine,t1,t1,2,1.0000000000
fine,%,^2,1,0.0049504950
fine,%,ba,1,0.0049504950
fine,%,ng,1,0.0049504950
fine,%,qh,1,0.0049504950
fine,%,qw,1,0.0049504950
fine,%,qy,1,0.0049504950
fine,^2,sv,1,1.0000000000
fine,^h,ad,1,0.1111111111
fine,^q,aa,1,0.1000000000
fine,^q,qh,1,0.1000000000
fine,^q,sv,1,0.1000000000
fine,aap,aa,1,0.5000000000
fine,aap,h,1,0.5000000000
fine,ad,fc,1,0.0769230769
fine,ad,oo,1,0.0769230769
fine,arp,sd,1,1.0000000000
fine,b,fc,1,0.0016528926
fine,b,nn,1,0.0016528926
fine,b,sv,1,0.0016528926
fine,ba,^h,1,0.0161290323
fine,ba,aa,1,0.0161290323
fine,ba,nn,1,0.0161290323
fine,bd,sd,1,1.0000000000
fine,bf,^2,1,0.0625000000
fine,bf,qy,1,0.0625000000
fine,br,bh,1,0.3333333333
fine,fc,^2,1,0.0277777778
fine,fc,aa,1,0.0277777778
fine,fc,ad,1,0.0277777778
fine,fo,^h,1,0.0454545455
fine,fo,fc,1,0.0454545455
fine,na,aa,1,0.0769230769
fine,na,b,1,0.0769230769
fine,na,fo,1,0.0769230769
fine,na,sv,1,0.0769230769
fine,ng,aa,1,0.2500000000
fine,ng,sd,1,0.2500000000
fine,no,sd,1,0.2500000000
fine,no,sv,1,0.2500000000
fine,oo,qy,1,0.2500000000
fine,qh,sv,1,0.1000000000
fine,qrr,qy,1,0.2500000000
fine,qw,br,1,0.0384615385
fine,sd,h,1,0.0007733952
fine,sv,h,1,0.0020491803
fine,sv,qh,1,0.0020491803
fine,sv,qw,1,0.0020491803
fine,t3,sd,1,1.0000000000
coarse,Statement,Statement,1160,0.8902532617
coarse,Backchannel,Backchannel,658,0.9293785311
coarse,Opinion,Opinion,355,0.7274590164
coarse,Abandoned/Other,Statement,140,0.4430379747
coarse,Agreement,Backchannel,111,0.5285714286
coarse,Opinion,Statement,108,0.2213114754
coarse,Statement,Opinion,93,0.0713737529
coarse,Abandoned/Other,Backchannel,90,0.2848101266
coarse,YesNoQuestion,YesNoQuestion,81,0.8019801980
coarse,Agreement,Agreement,71,0.3380952381
coarse,WhQuestion/OpenQuestion,WhQuestion/OpenQuestion,53,0.8688524590
coarse,Answer,Backchannel,50,0.5263157895
coarse,Abandoned/Other,Abandoned/Other,42,0.1329113924
coarse,Repair/Hedge,Repair/Hedge,25,0.4807692308
coarse,Answer,Answer,23,0.2421052632
coarse,Statement,Repair/Hedge,22,0.0168841136
coarse,Abandoned/Other,Opinion,21,0.0664556962
coarse,Backchannel,Agreement,20,0.0282485876
coarse,Repair/Hedge,Statement,16,0.3076923077
coarse,Answer,Statement,15,0.1578947368
coarse,Abandoned/Other,YesNoQuestion,12,0.0379746835
coarse,Agreement,Statement,11,0.0523809524
coarse,Backchannel,Abandoned/Other,10,0.0141242938
coarse,YesNoQuestion,Statement,10,0.0990099010
coarse,Opinion,Backchannel,9,0.0184426230
coarse,Statement,Agreement,9,0.0069071374
coarse,Statement,Backchannel,9,0.0069071374
coarse,Directive,Directive,8,0.4705882353
coarse,Agreement,Abandoned/Other,7,0.0333333333
coarse,Directive,Statement,7,0.4117647059
coarse,Opinion,Repair/Hedge,7,0.0143442623
coarse,Backchannel,Opinion,6,0.0084745763
coarse,Backchannel,Statement,6,0.0084745763
coarse,Repair/Hedge,Opinion,6,0.1153846154
coarse,YesNoQuestion,Opinion,6,0.0594059406
coarse,Agreement,Opinion,5,0.0238095238
coarse,Opinion,Agreement,5,0.0102459016
coarse,Statement,Directive,5,0.0038372985
coarse,Abandoned/Other,Answer,4,0.0126582278
coarse,Agreement,Answer,4,0.0190476190
coarse,Backchannel,Repair/Hedge,4,0.0056497175
coarse,Statement,YesNoQuestion,4,0.0030698388
coarse,WhQuestion/OpenQuestion,YesNoQuestion,4,0.0655737705
coarse,YesNoQuestion,Repair/Hedge,4,0.0396039604
coarse,Abandoned/Other,Repair/Hedge,3,0.0094936709
coarse,Repair/Hedge,YesNoQuestion,3,0.0576923077
coarse,Abandoned/Other,WhQuestion/OpenQuestion,2,0.0063291139
coarse,Answer,Agreement,2,0.0210526316
