prompt_level,left_condition,right_condition,left_architecture,right_architecture,topic,topic_key,n_left,n_right,n_matched_inputs,n_unmatched_pairs,primary_eligible,mean_same_input_route_similarity,mean_different_input_route_similarity,architecture_route_displacement,same_input_similarity_advantage,analysis_role,c4_also_changes_second_model
P0,C1-P0,C2-P0,C1,C2,Buying A Car,buying a car,2,2,2,2,False,0.3276379012640844,0.3692271413814108,0.6723620987359156,-0.0415892401173264,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Capital Punishment,capital punishment,2,2,2,2,False,0.41837439339499827,0.4012917266096887,0.5816256066050017,0.017082666785309564,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Care Of The Elderly,care of the elderly,5,5,5,20,True,0.275090093831668,0.2855749854019715,0.724909906168332,-0.010484891570303523,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Child Care,child care,2,2,2,2,False,0.28183892832927804,0.2959176709928857,0.718161071670722,-0.014078742663607646,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Crime,crime,4,4,4,12,True,0.35212152142466746,0.37414111340798056,0.6478784785753325,-0.022019591983313103,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Drug Testing,drug testing,2,2,2,2,False,0.34954645526901074,0.3290868727519327,0.6504535447309893,0.020459582517078023,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Family Finance,family finance,5,5,5,20,True,0.3422192088629837,0.3093981490134529,0.6577807911370164,0.032821059849530765,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Job Benefits,job benefits,5,5,5,20,True,0.30771627232761267,0.3271452984274282,0.6922837276723873,-0.019429026099815505,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Music,music,2,2,2,2,False,0.3844782363976919,0.36043376510974395,0.615521763602308,0.024044471287947955,exploratory,False
P0,C1-P0,C2-P0,C1,C2,News Media,news media,4,4,4,12,True,0.3523082875585062,0.3594112058955594,0.6476917124414938,-0.007102918337053232,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Recycling,recycling,3,3,3,6,True,0.40047793987287833,0.40375067260258407,0.5995220601271216,-0.0032727327297057407,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Taxes,taxes,2,2,2,2,False,0.11587586146753681,0.08053293423685187,0.8841241385324632,0.03534292723068494,exploratory,False
