source,condition,architecture,prompt_level,conversation_no,topic,topic_key,n_words,n_bins,n_microchunks,route_representation,n_sampled_word_occurrences,n_unique_sampled_words,sampled_unique_coverage,sampled_overlap_rate,status,topic_pool_size,nearest_sibling_no,nearest_sibling_similarity
SB,SB,SB,SB,2005,Care Of The Elderly,care of the elderly,1689,8,8,landmarks,160,160,0.09473060982830077,0.0,eligible,28,2768,0.3411506545351981
SB,SB,SB,SB,2006,Air Pollution,air pollution,1454,8,8,landmarks,160,160,0.11004126547455295,0.0,eligible,24,3887,0.26324747817346217
SB,SB,SB,SB,2020,Music,music,1908,8,8,landmarks,160,160,0.08385744234800839,0.0,eligible,25,3747,0.30406530783534147
SB,SB,SB,SB,2022,Family Finance,family finance,1214,8,8,landmarks,160,160,0.13179571663920922,0.0,eligible,28,3200,0.3475616828846546
SB,SB,SB,SB,2025,Trial By Jury,trial by jury,1353,8,8,landmarks,160,160,0.11825572801182557,0.0,eligible,31,2749,0.274189898885848
SB,SB,SB,SB,2028,Weather Climate,weather climate,1533,8,8,landmarks,160,160,0.10437051532941943,0.0,eligible,20,3663,0.22666086888959402
SB,SB,SB,SB,2032,Music,music,1740,8,8,landmarks,160,160,0.09195402298850575,0.0,eligible,25,3988,0.23152681020734822
SB,SB,SB,SB,2051,Crime,crime,1519,8,8,landmarks,160,160,0.10533245556287031,0.0,eligible,27,2836,0.271732631701612
SB,SB,SB,SB,2060,News Media,news media,914,8,8,landmarks,160,160,0.175054704595186,0.0,eligible,31,4660,0.36713575922397135
SB,SB,SB,SB,2062,Job Benefits,job benefits,2020,8,8,landmarks,160,160,0.07920792079207921,0.0,eligible,26,4060,0.19853279541568747
SB,SB,SB,SB,2064,Capital Punishment,capital punishment,1460,8,8,landmarks,160,160,0.1095890410958904,0.0,eligible,32,2546,0.27747518182238673
SB,SB,SB,SB,2071,Buying A Car,buying a car,936,8,8,landmarks,160,160,0.17094017094017094,0.0,eligible,34,2751,0.3515707399637005
SB,SB,SB,SB,2085,Job Benefits,job benefits,1706,8,8,landmarks,160,160,0.09378663540445487,0.0,eligible,26,3001,0.22094792755674253
SB,SB,SB,SB,2092,Family Finance,family finance,1532,8,8,landmarks,160,160,0.10443864229765012,0.0,eligible,28,4759,0.27962464182680935
SB,SB,SB,SB,2094,Air Pollution,air pollution,1344,8,8,landmarks,160,160,0.11904761904761904,0.0,eligible,24,2998,0.3049481709261691
SB,SB,SB,SB,2095,Weather Climate,weather climate,903,8,8,landmarks,160,160,0.17718715393134,0.0,eligible,20,3042,0.3378601012630742
SB,SB,SB,SB,2104,Soviet Union,soviet union,458,8,8,landmarks,160,160,0.34934497816593885,0.0,eligible,8,2451,0.2661702059569542
SB,SB,SB,SB,2111,Recycling,recycling,1759,8,8,landmarks,160,160,0.09096077316657192,0.0,eligible,35,2264,0.2953189503304541
SB,SB,SB,SB,2121,Air Pollution,air pollution,1808,8,8,landmarks,160,160,0.08849557522123894,0.0,eligible,24,3694,0.2638336683179303
SB,SB,SB,SB,2131,Music,music,1882,8,8,landmarks,160,160,0.08501594048884166,0.0,eligible,25,4092,0.253462818956238
SB,SB,SB,SB,2154,News Media,news media,1566,8,8,landmarks,160,160,0.10217113665389528,0.0,eligible,31,4821,0.2945111940236591
SB,SB,SB,SB,2155,Care Of The Elderly,care of the elderly,2240,8,8,landmarks,160,160,0.07142857142857142,0.0,eligible,28,4619,0.31701948648275813
SB,SB,SB,SB,2157,Football,football,1793,8,8,landmarks,160,160,0.08923591745677635,0.0,eligible,11,3638,0.22412272534525146
SB,SB,SB,SB,2160,Crime,crime,1318,8,8,landmarks,160,160,0.12139605462822459,0.0,eligible,27,2335,0.22914391093071917
SB,SB,SB,SB,2168,Public Education,public education,2013,8,8,landmarks,160,160,0.07948335817188276,0.0,eligible,32,3062,0.21474153803729124
SB,SB,SB,SB,2180,Trial By Jury,trial by jury,1476,8,8,landmarks,160,160,0.10840108401084012,0.0,eligible,31,2302,0.3089710145400115
SB,SB,SB,SB,2184,Drug Testing,drug testing,1326,8,8,landmarks,160,160,0.12066365007541478,0.0,eligible,27,2759,0.3082334297400894
SB,SB,SB,SB,2190,Air Pollution,air pollution,2231,8,8,landmarks,160,160,0.07171671896010758,0.0,eligible,24,3797,0.22513319487961936
SB,SB,SB,SB,2205,News Media,news media,1633,8,8,landmarks,160,160,0.09797917942437231,0.0,eligible,31,3267,0.3633630910206571
SB,SB,SB,SB,2220,Music,music,1948,8,8,landmarks,160,160,0.08213552361396304,0.0,eligible,25,3230,0.17690071768674054
SB,SB,SB,SB,2221,Trial By Jury,trial by jury,2044,8,8,landmarks,160,160,0.07827788649706457,0.0,eligible,31,4679,0.2806958823073368
SB,SB,SB,SB,2231,Capital Punishment,capital punishment,1460,8,8,landmarks,160,160,0.1095890410958904,0.0,eligible,32,2546,0.3513022677130768
SB,SB,SB,SB,2234,Taxes,taxes,1527,8,8,landmarks,160,160,0.10478061558611657,0.0,eligible,26,2915,0.23075206947572036
SB,SB,SB,SB,2249,Recycling,recycling,1874,8,8,landmarks,160,160,0.08537886872998933,0.0,eligible,35,2994,0.25998947994400023
SB,SB,SB,SB,2252,Soviet Union,soviet union,2102,8,8,landmarks,160,160,0.07611798287345385,0.0,eligible,8,3379,0.2023385949344334
SB,SB,SB,SB,2260,Taxes,taxes,1856,8,8,landmarks,160,160,0.08620689655172414,0.0,eligible,26,3077,0.21074234957905058
SB,SB,SB,SB,2262,Air Pollution,air pollution,1599,8,8,landmarks,160,160,0.10006253908692933,0.0,eligible,24,2293,0.2620711332702357
SB,SB,SB,SB,2264,Recycling,recycling,1028,8,8,landmarks,160,160,0.1556420233463035,0.0,eligible,35,2111,0.2953189503304541
SB,SB,SB,SB,2265,News Media,news media,791,8,8,landmarks,160,160,0.202275600505689,0.0,eligible,31,2910,0.26301051167860934
SB,SB,SB,SB,2285,Crime,crime,1907,8,8,landmarks,160,160,0.08390141583639224,0.0,eligible,27,3801,0.26900614355299257
SB,SB,SB,SB,2289,Recycling,recycling,1894,8,8,landmarks,160,160,0.08447729672650475,0.0,eligible,35,2994,0.27733637255116284
SB,SB,SB,SB,2292,Job Benefits,job benefits,1844,8,8,landmarks,160,160,0.08676789587852494,0.0,eligible,26,2887,0.22310649666157367
SB,SB,SB,SB,2293,Air Pollution,air pollution,1225,8,8,landmarks,160,160,0.1306122448979592,0.0,eligible,24,2006,0.26286874014155315
SB,SB,SB,SB,2295,Care Of The Elderly,care of the elderly,1146,8,8,landmarks,160,160,0.13961605584642234,0.0,eligible,28,2005,0.3131175772213094
SB,SB,SB,SB,2299,Recycling,recycling,1417,8,8,landmarks,160,160,0.11291460832745237,0.0,eligible,35,2876,0.327135516964445
SB,SB,SB,SB,2300,Family Finance,family finance,2190,8,8,landmarks,160,160,0.0730593607305936,0.0,eligible,28,2515,0.30643135190152104
SB,SB,SB,SB,2302,Trial By Jury,trial by jury,1106,8,8,landmarks,160,160,0.14466546112115733,0.0,eligible,31,2180,0.3089710145400115
SB,SB,SB,SB,2308,Care Of The Elderly,care of the elderly,1849,8,8,landmarks,160,160,0.08653326122228232,0.0,eligible,28,3191,0.25428886551117114
SB,SB,SB,SB,2309,Trial By Jury,trial by jury,1315,8,8,landmarks,160,160,0.12167300380228137,0.0,eligible,31,3118,0.35898024716968435
SB,SB,SB,SB,2314,Drug Testing,drug testing,1284,8,8,landmarks,160,160,0.12461059190031153,0.0,eligible,27,2759,0.3533697280556517
SB,SB,SB,SB,2316,Public Education,public education,1830,8,8,landmarks,160,160,0.08743169398907104,0.0,eligible,32,3841,0.22266592331079693
SB,SB,SB,SB,2323,Soviet Union,soviet union,1260,8,8,landmarks,160,160,0.12698412698412698,0.0,eligible,8,2602,0.2624334607951785
