prompt_level,left_condition,right_condition,left_architecture,right_architecture,conversation_no,topic,topic_key,same_input_route_similarity,architecture_route_displacement,alignment_path,analysis_role
P0,C1-P0,C2-P0,C1,C2,4382,Air Pollution,air pollution,0.47793333348135825,0.5220666665186418,"[[0,0],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4339,Buying A Car,buying a car,0.33910265493687264,0.6608973450631274,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4356,Buying A Car,buying a car,0.3161731475912961,0.6838268524087039,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4133,Capital Punishment,capital punishment,0.36767740770943,0.63232259229057,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4341,Capital Punishment,capital punishment,0.4690713790805665,0.5309286209194335,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,3902,Care Of The Elderly,care of the elderly,0.30848383191098716,0.6915161680890128,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4108,Care Of The Elderly,care of the elderly,0.2541269399956395,0.7458730600043605,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4166,Care Of The Elderly,care of the elderly,0.21576323016798082,0.7842367698320192,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4619,Care Of The Elderly,care of the elderly,0.3376722815294154,0.6623277184705846,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4646,Care Of The Elderly,care of the elderly,0.2594041855543171,0.7405958144456829,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4325,Child Care,child care,0.24627835398677622,0.7537216460132238,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4877,Child Care,child care,0.31739950267177985,0.6826004973282201,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4316,Crime,crime,0.39755424379130444,0.6024457562086956,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4320,Crime,crime,0.3686637270122073,0.6313362729877927,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4336,Crime,crime,0.3120535077369905,0.6879464922630095,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4340,Crime,crime,0.33021460715816775,0.6697853928418322,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4048,Drug Testing,drug testing,0.2910339850081811,0.7089660149918189,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4330,Drug Testing,drug testing,0.40805892552984036,0.5919410744701596,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4103,Family Finance,family finance,0.26218254428529375,0.7378174557147062,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4104,Family Finance,family finance,0.2889105303985253,0.7110894696014747,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4353,Family Finance,family finance,0.39767560895113974,0.6023243910488603,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4379,Family Finance,family finance,0.30857003240089953,0.6914299675991005,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4688,Family Finance,family finance,0.4537573282790601,0.5462426717209399,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,3389,Football,football,0.33839805510529053,0.6616019448947095,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4060,Job Benefits,job benefits,0.3133147551027644,0.6866852448972356,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4109,Job Benefits,job benefits,0.21990468912324534,0.7800953108767547,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4171,Job Benefits,job benefits,0.2788392082522919,0.7211607917477081,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4319,Job Benefits,job benefits,0.42970921927780736,0.5702907807221926,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4628,Job Benefits,job benefits,0.2968134898819541,0.7031865101180459,"[[0,0],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4168,Music,music,0.4013062852556819,0.5986937147443181,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4312,Music,music,0.3676501875397019,0.6323498124602981,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4082,News Media,news media,0.3090492785225132,0.6909507214774868,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
