prompt_level,left_condition,right_condition,left_architecture,right_architecture,conversation_no,topic,topic_key,same_input_route_similarity,architecture_route_displacement,alignment_path,analysis_role
P0,C1-P0,C2-P0,C1,C2,4382,Air Pollution,air pollution,0.47641761930406035,0.5235823806959397,"[[0,0],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4339,Buying A Car,buying a car,0.3287446281507074,0.6712553718492926,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4356,Buying A Car,buying a car,0.40684328456117314,0.5931567154388269,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4133,Capital Punishment,capital punishment,0.38437158308809183,0.6156284169119082,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4341,Capital Punishment,capital punishment,0.4687722363861492,0.5312277636138508,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,3902,Care Of The Elderly,care of the elderly,0.3086326998175487,0.6913673001824513,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4108,Care Of The Elderly,care of the elderly,0.2644052875647952,0.7355947124352048,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4166,Care Of The Elderly,care of the elderly,0.22063082840559023,0.7793691715944098,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4619,Care Of The Elderly,care of the elderly,0.3865840925984547,0.6134159074015453,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4646,Care Of The Elderly,care of the elderly,0.2678846533182999,0.7321153466817001,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4325,Child Care,child care,0.19764546718671971,0.8023545328132803,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4877,Child Care,child care,0.3164738613057051,0.6835261386942949,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4316,Crime,crime,0.4640826549437067,0.5359173450562933,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4320,Crime,crime,0.43321739533231884,0.5667826046676812,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4336,Crime,crime,0.39355633919328503,0.606443660806715,"[[0,0],[1,1],[2,2],[3,2],[4,3],[5,4],[6,5],[7,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4340,Crime,crime,0.41466691345609674,0.5853330865439033,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4048,Drug Testing,drug testing,0.3103959867563415,0.6896040132436585,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4330,Drug Testing,drug testing,0.43848691368533343,0.5615130863146666,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4103,Family Finance,family finance,0.28082917905171023,0.7191708209482898,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4104,Family Finance,family finance,0.3137917410007266,0.6862082589992734,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4353,Family Finance,family finance,0.4218046886985898,0.5781953113014102,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4379,Family Finance,family finance,0.3413176025300563,0.6586823974699437,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4688,Family Finance,family finance,0.46018304718547476,0.5398169528145252,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,3389,Football,football,0.3465276360885253,0.6534723639114747,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4060,Job Benefits,job benefits,0.3537232811821869,0.6462767188178131,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4109,Job Benefits,job benefits,0.2576037734298915,0.7423962265701085,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
P0,C1-P0,C2-P0,C1,C2,4171,Job Benefits,job benefits,0.340021484714611,0.659978515285389,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]",exploratory
