source,condition,architecture,prompt_level,topic,topic_key,conversation_a,conversation_b,route_similarity,route_distance,alignment_path
SB,SB,SB,SB,Air Pollution,air pollution,2006,2094,0.2554722649733706,0.7445277350266294,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2121,0.2227879843349715,0.7772120156650285,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2190,0.19625316688411587,0.8037468331158841,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2262,0.24477179450801723,0.7552282054919828,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2293,0.26286874014155315,0.7371312598584469,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2648,0.18743805540574754,0.8125619445942525,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2752,0.212940438103838,0.787059561896162,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2938,0.17558460840440693,0.8244153915955931,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,2998,0.20411153453759234,0.7958884654624077,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3063,0.23945005236163586,0.7605499476383641,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3148,0.14205430556455312,0.8579456944354469,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3244,0.17391522526175607,0.8260847747382439,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3255,0.17142181765933384,0.8285781823406662,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3406,0.21345656378293631,0.7865434362170637,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3574,0.21036163750117187,0.7896383624988281,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3694,0.2381579686319758,0.7618420313680242,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3797,0.20823859268082057,0.7917614073191794,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,3887,0.26324747817346217,0.7367525218265378,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,4051,0.15442479630090844,0.8455752036990916,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,4114,0.13323012824055258,0.8667698717594474,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,4382,0.1634698143384853,0.8365301856615147,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,4771,0.14323989648176216,0.8567601035182378,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2006,4940,0.14096372908727473,0.8590362709127253,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2121,0.23019489180394515,0.7698051081960549,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2190,0.152172913752046,0.847827086247954,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2262,0.15726301090269734,0.8427369890973027,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2293,0.17608247323770398,0.823917526762296,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2648,0.17154290370840675,0.8284570962915933,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2752,0.15712117143280324,0.8428788285671968,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2938,0.15162798405566225,0.8483720159443378,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,2998,0.3049481709261691,0.6950518290738309,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3063,0.20469984622606074,0.7953001537739393,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3148,0.1644740541519224,0.8355259458480776,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3244,0.16257803368515156,0.8374219663148484,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3255,0.19300503335385522,0.8069949666461448,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3406,0.2079855575223315,0.7920144424776685,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3574,0.228457907256718,0.771542092743282,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3694,0.25494549090550356,0.7450545090944964,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3797,0.15510809574100803,0.844891904258992,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,3887,0.18427036587868595,0.815729634121314,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,4051,0.14556978397065845,0.8544302160293415,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,4114,0.20734685383850793,0.7926531461614921,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
SB,SB,SB,SB,Air Pollution,air pollution,2094,4382,0.13962616703587571,0.8603738329641243,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7]]"
