condition,architecture,prompt_level,topic,topic_key,n_generated,n_human_pool,primary_eligible,generated_route_reuse,human_pool_matched_reuse,human_subsample_mean_q025,human_subsample_mean_q975,excess_route_reuse,human_subsample_nearest_p95,generated_above_human_nearest_p95_rate,human_subsample_upper_tail_fraction
C1-P0,C1,P0,Buying A Car,buying a car,2,34,False,0.595828685758691,0.33568584982642874,0.2407206092221985,0.43226713730928024,0.26014283593226223,0.41914711515593306,1.0,0.0004997501249375312
C1-P0,C1,P0,Capital Punishment,capital punishment,2,32,False,0.5688213198191447,0.3517971104557789,0.2656834524696988,0.44152584173262566,0.21702420936336586,0.4335307306089381,1.0,0.0004997501249375312
C1-P0,C1,P0,Care Of The Elderly,care of the elderly,5,28,True,0.4999704708313487,0.40681362395466164,0.3586973924771605,0.4464538008513248,0.09315684687668707,0.45888598671658565,0.8,0.0004997501249375312
C1-P0,C1,P0,Child Care,child care,2,28,False,0.3407229796630524,0.350346275924197,0.25961059056465796,0.4363334383628531,-0.009623296261144554,0.4278710234865447,0.0,0.6036981509245377
C1-P0,C1,P0,Crime,crime,4,27,True,0.6036778285629829,0.3270971007089537,0.27469023476934573,0.38706316457494594,0.2765807278540292,0.39870449696493315,1.0,0.0004997501249375312
C1-P0,C1,P0,Drug Testing,drug testing,2,27,False,0.45443115647776977,0.33734538943120596,0.2235579411604317,0.43397795746714163,0.11708576704656382,0.41500073841117646,1.0,0.0034982508745627187
C1-P0,C1,P0,Family Finance,family finance,5,28,True,0.5267546238783991,0.38922249061732095,0.3182185829342696,0.47997448331191117,0.13753213326107816,0.4837259179291912,1.0,0.0004997501249375312
C1-P0,C1,P0,Job Benefits,job benefits,5,26,True,0.4824383429866536,0.3225178195991604,0.2814824328807874,0.36610364479298035,0.15992052338749319,0.38085655516254036,1.0,0.0004997501249375312
C1-P0,C1,P0,Music,music,2,25,False,0.4613986583293893,0.2871886455281911,0.18132379915129515,0.38884186789112907,0.1742100128011982,0.37383391159833645,1.0,0.0004997501249375312
C1-P0,C1,P0,News Media,news media,4,31,True,0.5319795631874077,0.3662751714557748,0.29288618932758786,0.4449097620047622,0.16570439173163287,0.4550839709541892,1.0,0.0004997501249375312
C1-P0,C1,P0,Recycling,recycling,3,35,True,0.5714819796403589,0.3891564594833707,0.3103353497539128,0.4931633412722075,0.18232552015698816,0.4880872855198707,1.0,0.0004997501249375312
